system:index,band,correlation,.geo
0,averageSummerPrecip_averageSummerPrecip,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,averageSummerPrecip_averageSpringPrecip,0.8853152324472271,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,averageSummerPrecip_averageAnnualPrecip,0.9462512387574079,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,averageSummerPrecip_averageSummerTemp,-0.4207776094897523,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,averageSummerPrecip_averageSpringTemp,-0.6532574317655565,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,averageSummerPrecip_averageAnnualTemp,-0.6002383093283943,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,averageSummerPrecip_averageSummerRadiacion,-0.4774063366119676,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,averageSummerPrecip_averageSpringRadiacion,-0.6175262160539978,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,averageSummerPrecip_averageAnnualRadiacion,-0.6020892260026235,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,averageSummerPrecip_averageSummerPalmer,-0.21458677426445427,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,averageSummerPrecip_averageSpringPalmer,0.19207712751933337,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,averageSummerPrecip_averageAnnualPalmer,-0.24080204406174094,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,averageSummerPrecip_averageSummerViento,0.5007896751994434,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,averageSummerPrecip_averageSpringViento,0.5327980519774062,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,averageSummerPrecip_averageAnnualViento,0.5084099022597004,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,averageSummerPrecip_averageSummerETP,0.6739807552540341,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,averageSummerPrecip_averageSpringETP,0.5719931951793219,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,averageSummerPrecip_averageAnnualETP,0.6262772310969427,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,averageSummerPrecip_precipitation_mediana,NaN,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,averageSummerPrecip_precipitation_moda,NaN,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,averageSummerPrecip_precipitation_min,NaN,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,averageSummerPrecip_precipitation_max,0.8667006433051325,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,averageSummerPrecip_precipitationstdDev,0.9244821022818357,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,averageSummerPrecip_Temp_C_mediana,-0.4854805944882094,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,averageSummerPrecip_Temp_C_moda,-0.43624194055604865,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,averageSummerPrecip_Temp_C_min,-0.5940437500751284,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,averageSummerPrecip_Temp_C_max,-0.2632358991004489,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,averageSummerPrecip_Temp_CstdDev,0.23714520349622706,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,averageSummerPrecip_ET_mediana,0.08094315485886047,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,averageSummerPrecip_ET_moda,-0.08496464026089443,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,averageSummerPrecip_ET_min,-0.031205522502747714,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,averageSummerPrecip_ET_max,0.18645707922777568,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,averageSummerPrecip_ETstdDev,0.276376091223858,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,averageSummerPrecip_Elevation,0.5191019144885938,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,averageSummerPrecip_slope,0.3525662916558313,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,averageSummerPrecip_Aspect,0.042904978724304856,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,averageSummerPrecip_MeanCurvature,0.07687104763218053,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,averageSummerPrecip_TWI,-0.2079105566795467,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,averageSummerPrecip_NDVI_mediana,0.1845138299832036,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,averageSummerPrecip_NDVI_moda,0.1408449813975425,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,averageSummerPrecip_NDVI_min,-0.07524942088148556,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,averageSummerPrecip_NDVI_max,0.0801894715843267,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,averageSummerPrecip_NDVIstdDev,0.18910386654170602,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,averageSummerPrecip_BAI_mediana,0.10183675091271599,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,averageSummerPrecip_BAI_moda,0.12645479554515823,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,averageSummerPrecip_BAI_min,-0.040605120313152165,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,averageSummerPrecip_BAI_max,0.19197416070052414,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,averageSummerPrecip_BAIstdDev,0.20101818880018257,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,averageSummerPrecip_SRI_mediana,0.3261356542153041,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,averageSummerPrecip_SRI_moda,0.30557561714576115,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,averageSummerPrecip_SRI_min,0.07109754167758374,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,averageSummerPrecip_SRI_max,0.26947094496966456,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,averageSummerPrecip_SRIstdDev,0.2977159523109396,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,averageSummerPrecip_Lai_500m_mediana,0.19094142058557434,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,averageSummerPrecip_Lai_500m_moda,0.1672942107320006,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,averageSummerPrecip_Lai_500m_min,-0.015681647624784918,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,averageSummerPrecip_Lai_500m_max,0.18005143826546605,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,averageSummerPrecip_Lai_500mstdDev,0.3388784168749467,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,averageSummerPrecip_Fpar_500m_mediana,0.11391502488415678,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,averageSummerPrecip_Fpar_500m_moda,0.09202424033113044,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,averageSummerPrecip_Fpar_500m_min,-0.13473470728350606,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,averageSummerPrecip_Fpar_500m_max,0.06999424800750703,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,averageSummerPrecip_Fpar_500mstdDev,0.29934949722857773,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,averageSummerPrecip_accessibility,0.31500164022094274,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,averageSummerPrecip_population_count,-0.043878873321790295,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,averageSummerPrecip_frequency_buerned,-0.03738539501519129,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,averageSpringPrecip_averageSummerPrecip,0.8853152324472271,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,averageSpringPrecip_averageSpringPrecip,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,averageSpringPrecip_averageAnnualPrecip,0.9352881934004311,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,averageSpringPrecip_averageSummerTemp,-0.24108467678841985,"{""type"":""MultiPoint"",""coordinates"":[]}"
